"Departamento,CRV,Serie,TotalHabilitados,TotalVotosEmitidos,TotalVotosNoObservados,TotalVotosObservados,TotalAnulados,TotalEnBlanco,TotalOrsiCosse,TotalDelgadoRipoll"
"MO,1,AAA,397,317,313,4,10,2,147,154"
"MO,2,AAA,391,338,336,2,13,7,144,172"
"MO,3,AAA,399,348,346,2,13,8,174,151"
"MO,4,AAA,397,337,334,3,13,5,177,139"
"MO,5,AAA,398,344,342,2,7,5,206,124"
"MO,6,AAA,397,320,318,2,10,4,178,126"
"MO,7,AAA,398,328,326,2,7,3,196,120"
"MO,8,AAA,398,326,323,3,4,3,209,107"
"MO,9,AAA,395,313,309,4,11,3,188,107"
"MO,10,AAA,399,306,303,3,6,9,172,116"
"MO,11,AAA,397,309,308,1,13,5,203,87"
"MO,12,AAA,399,324,323,1,8,3,209,103"
"MO,13,AAA,397,329,328,1,10,3,197,118"
"MO,14,AAA,395,338,337,1,14,3,214,106"
"MO,15,AAA,356,318,317,1,9,3,216,89"
"MO,16,AAA AAB,375,307,303,4,5,3,142,153"
"MO,17,AAB ABA,370,321,318,3,4,4,158,152"
"MO,18,ABA ABB,369,306,303,3,5,7,150,141"
"MO,19,ACA,407,335,333,2,3,5,167,158"
"MO,20,ACA,406,340,338,2,11,11,179,137"
"MO,21,ACA,408,350,347,3,14,7,197,129"
"MO,22,ACA,405,351,349,2,7,2,198,142"
"MO,23,ACA,408,353,352,1,10,5,206,131"
"MO,24,ACA,407,336,331,5,5,9,213,104"
"MO,25,ACA,407,338,337,1,5,5,206,121"
"MO,26,ACA,408,330,329,1,12,1,206,110"
"MO,27,ACA,408,344,342,2,9,4,220,109"
"MO,28,ACA,406,331,330,1,9,7,232,82"
"MO,29,ACA,408,347,346,1,17,9,225,95"
"MO,30,ACA,408,360,358,2,7,6,233,112"
"MO,31,ACA,409,377,376,1,9,7,254,106"
"MO,32,ACA,392,363,362,1,8,4,233,117"
"MO,33,ACA,385,369,368,1,9,5,242,112"
"MO,34,ACB,332,253,250,3,1,2,100,147"
"MO,35,ACB,332,306,301,5,8,9,152,132"
"MO,36,ACB ADA,331,260,259,1,8,5,126,120"
"MO,37,ADA ADB,329,283,281,2,6,1,145,129"
"MO,38,AEA,382,297,295,2,4,7,111,173"
"MO,39,AEA AEB,381,333,331,2,9,4,171,147"
"MO,40,AEB,383,318,316,2,8,10,160,138"
"MO,41,AFA,385,323,320,3,5,3,126,186"
"MO,42,AFA AFB,381,328,325,3,11,9,146,159"
"MO,43,AGA,334,274,270,4,5,3,118,144"
"MO,44,AGA AGB,339,262,258,4,5,5,98,150"
"MO,45,AGB,341,298,292,6,5,5,159,123"
"MO,46,AHA,363,270,266,4,5,9,78,174"
"MO,47,AHA,365,318,317,1,7,6,126,178"
"MO,48,AHA AHB,361,266,263,3,2,5,106,150"
"MO,49,AHB,364,332,328,4,10,5,170,143"
"MO,50,AIA,408,317,313,4,3,5,111,194"
"MO,51,AIA,410,365,363,2,10,13,145,195"
"MO,52,AIA,409,355,354,1,10,4,154,186"
"MO,53,AIA,411,352,350,2,8,6,158,178"
"MO,54,AIA,406,364,361,3,12,3,173,173"
"MO,55,AIA,410,364,363,1,9,5,188,161"
"MO,56,AIA,411,364,346,18,14,8,161,163"
"MO,57,AIA,409,348,347,1,7,5,179,156"
"MO,58,AIA,410,333,331,2,9,12,170,140"
"MO,59,AIA,411,328,327,1,14,5,148,160"
"MO,60,AIA,409,322,321,1,4,6,151,160"
"MO,61,AIA,410,346,345,1,15,7,173,150"
"MO,62,AIA,410,356,354,2,19,4,188,143"
"MO,63,AIA,411,364,362,2,7,3,186,166"
"MO,64,AIA,410,351,350,1,7,6,177,160"
"MO,65,AIA,411,372,371,1,12,8,194,157"
"MO,66,AIA,410,379,378,1,16,5,206,151"
"MO,67,AIA,401,376,375,1,12,5,197,161"
"MO,68,AIA AIB,395,342,340,2,9,4,180,147"
"MO,69,AIB,411,349,347,2,5,6,123,213"
"MO,70,AIB AJA,404,316,314,2,5,3,125,181"
"MO,71,AJA,410,367,364,3,6,8,139,211"
"MO,72,AJA AJB,409,345,343,2,6,2,145,190"
"MO,73,AJB,413,376,374,2,13,5,165,191"
"MO,74,AKA,396,280,278,2,3,2,111,162"
"MO,75,AKA,396,344,341,3,6,5,161,169"
"MO,76,AKA,396,357,354,3,8,1,166,179"
"MO,77,AKA,397,341,336,5,8,6,152,170"
"MO,78,AKA,398,344,342,2,9,7,179,147"
"MO,79,AKA,397,348,345,3,11,4,192,138"
"MO,80,AKA,397,346,344,2,12,9,159,164"
"MO,81,AKA,397,353,349,4,12,2,181,154"
"MO,82,AKA,396,340,339,1,14,3,196,126"
"MO,83,AKA,395,355,353,2,7,10,184,152"
"MO,84,AKA,397,350,349,1,11,6,180,152"
"MO,85,AKA,398,346,345,1,12,8,188,137"
"MO,86,AKA,394,325,324,1,14,8,189,113"
"MO,87,AKA,397,333,332,1,11,3,203,115"
"MO,88,AKA,397,332,331,1,13,7,181,130"
"MO,89,AKA,394,325,324,1,11,7,185,121"
"MO,90,AKA,397,330,329,1,6,6,205,112"
"MO,91,AKA,397,310,309,1,9,3,186,111"
"MO,92,AKA,397,321,320,1,9,6,179,126"
"MO,93,AKA,397,342,341,1,11,7,214,109"
"MO,94,AKA,398,321,320,1,12,2,201,105"
"MO,95,AKA,397,338,336,2,9,4,210,113"
"MO,96,AKA,393,350,348,2,18,6,201,123"
"MO,97,AKA,397,348,346,2,5,2,205,134"
"MO,98,AKA,398,361,360,1,12,6,202,140"
"MO,99,AKA,397,352,350,2,6,5,215,124"
"MO,100,AKA,396,370,369,1,8,5,215,141"
"MO,101,AKA,395,366,365,1,13,8,217,127"
"MO,102,AKA,391,367,365,2,13,3,211,138"
"MO,103,AKA,367,344,343,1,13,5,195,130"
"MO,104,AKA,372,373,367,6,11,2,218,136"
"MO,105,AKB,374,288,287,1,4,4,130,149"
"MO,106,AKB,377,337,336,1,1,8,164,163"
"MO,107,AKB ALA,377,327,325,2,8,6,150,161"
"MO,108,ALA,376,294,292,2,2,5,109,176"
"MO,109,ALA,378,340,339,1,9,5,154,171"
"MO,110,ALA ALB,374,297,293,4,3,3,109,178"
"MO,111,ALB,378,340,339,1,8,7,167,157"
"MO,112,ALB,376,344,340,4,8,11,177,144"
"MO,113,AMA,379,320,312,8,8,5,151,148"
"MO,114,AMA,382,344,341,3,11,5,167,158"
"MO,115,AMA,383,340,338,2,17,5,146,170"
"MO,116,AMA,382,337,336,1,11,5,166,154"
"MO,117,AMA,381,336,335,1,9,5,173,148"
